DATE,TB3MS
2017-01-01,0.51
2017-02-01,0.52
2017-03-01,0.74
2017-04-01,0.8
2017-05-01,0.89
2017-06-01,0.98
2017-07-01,1.07
2017-08-01,1.01
2017-09-01,1.03
2017-10-01,1.07
2017-11-01,1.23
2017-12-01,1.32
2018-01-01,1.41
2018-02-01,1.57
2018-03-01,1.7
2018-04-01,1.76
2018-05-01,1.86
2018-06-01,1.9
2018-07-01,1.96
2018-08-01,2.03
2018-09-01,2.13
2018-10-01,2.25
2018-11-01,2.33
2018-12-01,2.37
2019-01-01,2.37
2019-02-01,2.39
2019-03-01,2.4
2019-04-01,2.38
2019-05-01,2.35
2019-06-01,2.17
2019-07-01,2.1
2019-08-01,1.95
2019-09-01,1.89
2019-10-01,1.65
2019-11-01,1.54
2019-12-01,1.54
2020-01-01,1.52
2020-02-01,1.52
2020-03-01,0.29
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.1
2020-09-01,0.11
2020-10-01,0.1
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
